,Libraries,Book Number,Books Available
0,Charlotte and William Bloomberg Medford Public Library,11,The Forgotten
1,Charlotte and William Bloomberg Medford Public Library,52,The Sacrifice
3,Charlotte and William Bloomberg Medford Public Library,8,The Alien
6,Charlotte and William Bloomberg Medford Public Library,10,The Android
8,Charlotte and William Bloomberg Medford Public Library,12,The Reaction
12,Cambridge Public Library - Central Square Branch,47,The Resistance
46,Malden Public Library,27,The Exposed
48,Malden Public Library,24,The Suspicion
50,Honan-Allston Branch of the Boston Public Library,37,The Weakness
52,Honan-Allston Branch of the Boston Public Library,51,The Absolute
55,Honan-Allston Branch of the Boston Public Library,46,The Deception
56,Honan-Allston Branch of the Boston Public Library,48,The Return
58,Honan-Allston Branch of the Boston Public Library,15,The Escape
64,Uphams Corner Branch of the Boston Public Library,23,The Pretender
66,Needham Free Public Library,13,The Change
73,Needham Free Public Library,49,The Diversion
74,Needham Free Public Library,44,The Unexpected
